ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac,strand_id,seq_next_d,hit_384,hit_629,p_bound
143,99.000,0.0350,0.0000,0.1000,0.0000,0.3333,0.5150,0,amorphous,0,18.059,20.0,-1,,0,0,0
144,99.000,0.0269,0.0000,0.0769,0.0000,0.0833,0.2000,0,amorphous,0,30.431,20.0,-1,,0,0,0
145,99.000,0.0350,0.0000,0.1000,0.0000,0.2500,1.0000,0,amorphous,0,48.928,20.0,-1,,0,0,0
146,99.000,0.0292,0.0000,0.0833,0.0000,0.0000,0.0000,0,amorphous,0,41.315,20.0,-1,,0,0,0
147,99.000,0.0000,0.0000,0.0000,0.0000,0.4000,0.6667,0,amorphous,0,27.457,20.0,-1,,0,0,0
148,99.000,0.0000,0.0000,0.0000,0.0000,0.4000,1.1400,0,amorphous,0,66.108,20.0,-1,,0,0,0
149,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,53.900,20.0,-1,,0,0,0
150,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.5000,0,amorphous,0,44.913,20.0,-1,,0,0,0
151,99.000,0.0233,0.0000,0.0667,0.0000,0.0000,0.0000,0,amorphous,0,32.826,20.0,-1,,0,0,0
152,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,13.258,20.0,-1,,0,0,0
153,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,41.139,20.0,-1,,0,0,0
154,99.000,0.0875,0.1250,0.1250,0.0000,0.0000,0.0000,0,intermediate,0,43.455,20.0,-1,,0,0,0
155,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,59.323,20.0,-1,,0,0,0
156,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.1667,0,amorphous,0,28.948,20.0,-1,,0,0,0
157,99.000,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0,amorphous,0,53.410,20.0,-1,,0,0,0
158,99.000,0.0318,0.0000,0.0909,0.0000,0.0000,0.0000,0,amorphous,0,36.678,20.0,-1,,0,0,0
159,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,29.847,20.0,-1,,0,0,0
160,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,21.296,20.0,-1,,0,0,0
161,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,23.864,20.0,-1,,0,0,0
162,99.000,0.0350,0.0000,0.1000,0.0000,0.0000,0.0000,0,amorphous,0,35.877,20.0,-1,,0,0,0
163,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,amorphous,0,52.831,20.0,-1,,0,0,0
164,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,57.889,20.0,-1,,0,0,0
165,99.000,0.0000,0.0000,0.0000,0.0000,0.3333,0.5000,0,amorphous,0,18.943,20.0,-1,,0,0,0
166,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,amorphous,0,35.706,20.0,-1,,0,0,0
167,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,21.616,20.0,-1,,0,0,0
168,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,34.793,20.0,-1,,0,0,0
169,99.000,0.0437,0.1250,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,41.736,20.0,-1,,0,0,0
170,99.000,0.0292,0.0000,0.0833,0.0000,0.0909,0.1667,0,amorphous,0,21.584,20.0,-1,,0,0,0
171,99.000,0.0875,0.1250,0.1250,0.0000,0.1429,0.0000,0,intermediate,0,57.410,20.0,-1,,0,0,0
172,99.000,0.0250,0.0000,0.0714,0.0000,0.1538,0.2222,0,amorphous,0,31.997,20.0,-1,,0,0,0
173,99.000,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,35.961,20.0,-1,,0,0,0
174,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,19.790,20.0,-1,,0,0,0
175,99.000,0.0864,0.0000,0.0909,0.1818,0.2000,0.4000,0,intermediate,0,41.328,20.0,-1,,0,0,0
176,99.000,0.0292,0.0000,0.0833,0.0000,0.0000,0.0000,0,amorphous,0,39.027,20.0,-1,,0,0,0
177,99.000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0,amorphous,0,41.760,20.0,-1,,0,0,0
178,99.000,0.0000,0.0000,0.0000,0.0000,0.1667,0.5000,0,amorphous,0,25.491,20.0,-1,,0,0,0
179,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,42.551,20.0,-1,,0,0,0
180,99.000,0.0269,0.0000,0.0769,0.0000,0.1818,0.3333,0,amorphous,0,37.395,20.0,-1,,0,0,0
181,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,13.613,20.0,-1,,0,0,0
182,99.000,0.0000,0.0000,0.0000,0.0000,0.1000,0.2000,0,amorphous,0,19.456,20.0,-1,,0,0,0
183,99.000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0,amorphous,0,24.559,20.0,-1,,0,0,0
184,99.000,0.0000,0.0000,0.0000,0.0000,0.1667,0.3333,0,amorphous,0,53.805,20.0,-1,,0,0,0
185,99.000,0.0875,0.1250,0.1250,0.0000,0.1429,0.1667,0,intermediate,0,46.946,20.0,-1,,0,0,0
186,99.000,0.0000,0.0000,0.0000,0.0000,0.2500,0.3333,0,amorphous,0,62.544,20.0,-1,,0,0,0
187,99.000,0.0269,0.0000,0.0769,0.0000,0.0833,0.3333,0,amorphous,0,22.523,20.0,-1,,0,0,0
188,99.000,0.0250,0.0000,0.0714,0.0000,0.0769,0.3333,0,amorphous,0,38.109,20.0,-1,,0,0,0
189,99.000,0.0250,0.0000,0.0714,0.0000,0.0769,0.2500,0,amorphous,0,33.175,20.0,-1,,0,0,0
190,99.000,0.1056,0.0000,0.1111,0.2222,0.0000,0.0000,0,intermediate,0,48.546,20.0,-1,,0,0,0
191,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.5000,0,amorphous,0,55.508,20.0,-1,,0,0,0
192,99.000,0.0389,0.0000,0.1111,0.0000,0.0000,0.0000,0,amorphous,0,60.108,20.0,-1,,0,0,0
193,99.000,0.0292,0.0000,0.0833,0.0000,0.1818,0.4000,0,amorphous,0,28.238,20.0,-1,,0,0,0
194,99.000,0.0350,0.0000,0.1000,0.0000,0.1111,0.2000,0,amorphous,0,22.252,20.0,-1,,0,0,0
195,99.000,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,amorphous,0,24.576,20.0,-1,,0,0,0
196,99.000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0,amorphous,0,40.780,20.0,-1,,0,0,0
197,99.000,0.0000,0.0000,0.0000,0.0000,0.5000,0.6667,0,amorphous,0,23.454,20.0,-1,,0,0,0
198,99.000,0.0000,0.0000,0.0000,0.0000,0.3333,0.8067,0,amorphous,0,47.829,20.0,-1,,0,0,0
199,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,56.827,20.0,-1,,0,0,0
200,99.000,0.0000,0.0000,0.0000,0.0000,0.3333,0.5000,0,amorphous,0,62.998,20.0,-1,,0,0,0
201,99.000,0.1250,0.1250,0.1250,0.1250,0.2857,1.0000,0,intermediate,0,52.074,20.0,-1,,0,0,0
202,99.000,0.0731,0.0000,0.0769,0.1538,0.3636,0.5844,0,intermediate,0,47.345,20.0,-1,,0,0,0
203,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,43.349,20.0,-1,,0,0,0
204,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,37.829,20.0,-1,,0,0,0
205,99.000,0.0389,0.0000,0.1111,0.0000,0.1250,0.1667,0,amorphous,0,42.937,20.0,-1,,0,0,0
206,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,47.405,20.0,-1,,0,0,0
207,99.000,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,amorphous,0,29.750,20.0,-1,,0,0,0
208,99.000,0.0437,0.1250,0.0000,0.0000,0.1429,0.2000,0,amorphous,0,38.517,20.0,-1,,0,0,0
209,99.000,0.0389,0.0000,0.1111,0.0000,0.2500,0.4000,0,amorphous,0,30.700,20.0,-1,,0,0,0
210,99.000,0.0350,0.0000,0.1000,0.0000,0.1111,0.0000,0,amorphous,0,31.186,20.0,-1,,0,0,0
211,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,45.646,20.0,-1,,0,0,0
212,99.000,0.0350,0.0000,0.1000,0.0000,0.3333,0.8900,0,amorphous,0,53.129,20.0,-1,,0,0,0
213,99.000,0.0437,0.0000,0.1250,0.0000,0.0000,0.0000,0,amorphous,0,50.234,20.0,-1,,0,0,0
214,99.000,0.0000,0.0000,0.0000,0.0000,0.1667,0.5000,0,amorphous,0,27.066,20.0,-1,,0,0,0
215,99.000,0.0389,0.0000,0.1111,0.0000,0.2500,0.5000,0,amorphous,0,50.008,20.0,-1,,0,0,0
216,99.000,0.0000,0.0000,0.0000,0.0000,0.3333,0.5000,0,amorphous,0,43.119,20.0,-1,,0,0,0
217,99.000,0.0318,0.0000,0.0909,0.0000,0.1000,0.2000,0,amorphous,0,21.075,20.0,-1,,0,0,0
218,99.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,36.835,20.0,-1,,0,0,0
219,99.000,0.0000,0.0000,0.0000,0.0000,0.2000,0.3333,0,amorphous,0,48.771,20.0,-1,,0,0,0
