ca_index,d_p_A,crystallinity,frac_a,frac_c,frac_384,com_registry,pair_corr,hotspot,phase,domain,axial_A,shell_bfac
49,6.955,0.0363,0.0411,0.0274,0.0411,0.1831,0.4000,0,amorphous,0,-6.127,22.0
50,8.952,0.0257,0.0395,0.0000,0.0395,0.1757,0.3900,0,intermediate,0,-7.185,22.0
51,8.046,0.0109,0.0000,0.0312,0.0000,0.2258,0.4443,0,intermediate,0,22.998,22.0
52,8.284,0.0244,0.0375,0.0000,0.0375,0.1429,0.3400,0,intermediate,0,17.044,22.0
53,6.453,0.0241,0.0370,0.0000,0.0370,0.1750,0.4042,0,amorphous,0,15.395,22.0
54,6.725,0.0167,0.0000,0.0476,0.0000,0.1452,0.3595,0,amorphous,0,4.614,22.0
55,8.547,0.0138,0.0395,0.0000,0.0000,0.2667,0.5482,0,intermediate,0,-9.653,22.0
56,1.230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,amorphous,0,7.904,22.0
57,7.467,0.0292,0.0000,0.0833,0.0000,0.0909,0.1667,0,amorphous,0,32.435,22.0
58,8.026,0.0000,0.0000,0.0000,0.0000,0.4000,0.8067,0,intermediate,0,-23.972,22.0
59,6.558,0.0000,0.0000,0.0000,0.0000,0.1613,0.3900,0,amorphous,0,-3.299,22.0
60,2.447,0.0115,0.0000,0.0328,0.0000,0.1897,0.4838,0,amorphous,0,8.209,22.0
61,4.490,0.0314,0.0000,0.0392,0.0588,0.1600,0.4257,0,amorphous,0,-7.758,22.0
62,9.579,0.0146,0.0417,0.0000,0.0000,0.1690,0.3708,0,intermediate,0,19.388,22.0
63,6.146,0.0101,0.0000,0.0290,0.0000,0.2500,0.5096,0,amorphous,0,-0.045,22.0
64,2.186,0.0184,0.0000,0.0526,0.0000,0.0000,0.0000,0,amorphous,0,-0.755,22.0
65,8.183,0.0111,0.0000,0.0317,0.0000,0.1613,0.4525,0,intermediate,0,0.810,22.0
66,8.312,0.0109,0.0000,0.0312,0.0000,0.2063,0.4650,0,intermediate,0,23.622,22.0
